id,user_id,order_date,status
122,17,2025-06-07T12:32:45,pending
123,7,2025-06-08T17:48:50,cancelled
124,28,2025-01-10T10:43:41,shipped
125,47,2023-12-14T01:31:53,shipped
126,28,2023-10-18T23:45:11,cancelled
127,33,2025-07-17T22:13:07,pending
128,25,2025-11-11T05:48:07,cancelled
129,13,2024-10-01T03:39:58,shipped
130,3,2023-03-06T10:14:01,delivered
131,1,2025-10-20T11:48:21,cancelled
132,35,2025-05-22T00:58:28,processing
133,24,2023-12-30T16:44:32,delivered
134,5,2025-08-29T14:33:17,shipped
135,40,2024-11-11T19:55:48,shipped
136,43,2025-08-04T10:47:59,pending
137,47,2023-10-20T10:26:41,shipped
138,33,2025-08-06T20:54:07,shipped
139,43,2025-07-22T12:40:21,delivered
140,21,2024-06-14T16:58:07,delivered
141,45,2024-04-04T07:05:51,shipped
142,36,2025-04-24T09:04:58,processing
143,13,2025-10-18T11:30:28,delivered
144,43,2025-10-29T17:51:11,delivered
145,44,2025-08-10T00:10:21,processing
146,40,2025-03-25T11:41:51,cancelled
147,20,2025-05-06T04:44:18,delivered
148,36,2025-06-16T17:23:14,pending
149,20,2025-08-11T01:03:11,shipped
150,14,2024-08-21T06:47:26,delivered
151,38,2025-10-03T16:10:44,cancelled
152,42,2024-11-11T23:05:11,shipped
153,30,2024-06-02T01:34:42,delivered
154,29,2025-03-17T11:16:14,processing
155,33,2025-05-04T06:20:12,delivered
156,48,2025-07-31T17:28:22,processing
157,43,2025-07-25T06:09:46,pending
158,19,2024-06-16T03:02:11,cancelled
159,43,2025-11-04T10:48:43,cancelled
160,22,2025-09-01T04:26:06,pending
161,49,2024-10-07T15:51:42,processing
162,44,2025-10-14T06:24:39,shipped
163,15,2024-03-01T01:03:43,processing
164,10,2024-07-17T15:33:39,pending
165,3,2023-12-02T12:52:33,processing
166,31,2024-04-12T09:31:08,cancelled
167,50,2025-09-01T20:44:19,pending
168,30,2023-06-10T06:47:56,delivered
169,41,2025-05-11T03:49:58,cancelled
170,13,2024-07-06T14:48:24,delivered
171,32,2025-06-16T08:55:33,delivered
172,16,2025-07-05T09:48:19,processing
173,42,2025-07-26T06:02:14,pending
174,49,2025-03-16T02:18:14,pending
175,50,2025-05-23T14:31:53,delivered
176,15,2024-01-23T08:04:08,processing
177,45,2024-07-01T02:01:49,cancelled
178,30,2024-05-06T05:30:23,pending
179,36,2024-09-29T01:29:44,processing
180,8,2025-05-29T03:36:48,delivered
181,9,2025-09-03T07:31:28,delivered
182,43,2025-10-02T03:38:24,cancelled
183,36,2023-11-05T10:45:52,cancelled
184,21,2025-05-21T20:08:15,delivered
185,40,2025-03-31T11:55:10,cancelled
186,28,2024-09-14T03:36:05,cancelled
187,29,2025-09-03T17:25:40,processing
188,48,2025-08-24T16:38:12,delivered
189,29,2025-04-02T21:43:26,shipped
190,49,2025-08-11T15:50:44,processing
191,41,2025-05-27T04:39:06,shipped
192,50,2025-07-14T14:22:49,cancelled
193,32,2024-10-31T05:11:30,processing
194,18,2025-07-20T19:54:42,delivered
195,5,2024-02-29T11:09:02,shipped
196,16,2025-09-19T23:11:59,shipped
197,22,2025-08-20T03:19:38,shipped
198,35,2024-06-04T18:49:48,pending
199,9,2025-08-08T16:48:55,processing
200,15,2024-04-17T11:05:40,delivered
