id,order_id,product_id,quantity
592,186,55,5
593,187,70,3
594,187,38,1
595,188,42,3
596,189,58,4
597,189,78,2
598,189,92,4
599,190,58,3
600,190,6,5
601,190,94,4
602,191,82,4
603,191,8,3
604,191,10,5
605,192,4,5
606,192,19,4
607,193,17,1
608,194,100,3
609,194,83,3
610,195,73,4
611,195,5,3
612,195,78,3
613,195,20,4
614,196,74,2
615,197,47,2
616,197,51,1
617,197,41,1
618,197,84,2
619,197,36,4
620,198,50,3
621,198,72,4
622,198,16,2
623,198,34,5
624,198,100,3
625,199,26,4
626,199,16,2
627,199,18,4
628,199,10,1
629,200,86,1
630,200,45,5
631,200,91,5
